Year,C,Y,x20,x50,x100,x200,x500
2000,2182,15,1,0,0,0,0
2001,2093,13,1,0,0,0,0
2002,2182,18,1,0,0,0,0
2003,2449,9,1,0,0,0,0
2004,2546,2,1,0,0,0,0
2005,2708,1,1,0,0,0,0
2006,2877,1,1,0,0,0,0
2007,2960,1,1,0,0,0,0
2008,3361,1,1,0,0,0,0
2009,3579,3,1,0,0,0,0
2010,3708,3,1,0,0,0,0
2011,3859,1,1,0,0,0,0
2000,3141,180,0,1,0,0,0
2001,2901,151,0,1,0,0,0
2002,3026,110,0,1,0,0,0
2003,4245,141,0,1,0,0,0
2004,4032,149,0,1,0,0,0
2005,3420,249,0,1,0,0,0
2006,3615,215,0,1,0,0,0
2007,3848,123,0,1,0,0,0
2008,3893,59,0,1,0,0,0
2009,4129,28,0,1,0,0,0
2010,4197,68,0,1,0,0,0
2011,4375,209,0,1,0,0,0
2000,2779,179,0,0,1,0,0
2001,2795,137,0,0,1,0,0
2002,3155,64,0,0,1,0,0
2003,4455,60,0,0,1,0,0
2004,4952,118,0,0,1,0,0
2005,4411,143,0,0,1,0,0
2006,4626,107,0,0,1,0,0
2007,4768,77,0,0,1,0,0
2008,4830,88,0,0,1,0,0
2009,4872,81,0,0,1,0,0
2010,5210,101,0,0,1,0,0
2011,5416,89,0,0,1,0,0
2000,4163,84,0,0,0,1,0
2001,4746,64,0,0,0,1,0
2002,5192,97,0,0,0,1,0
2003,4870,78,0,0,0,1,0
2004,5087,81,0,0,0,1,0
2005,5422,118,0,0,0,1,0
2006,5936,89,0,0,0,1,0
2007,6358,79,0,0,0,1,0
2008,6851,98,0,0,0,1,0
2009,7315,136,0,0,0,1,0
2010,7505,140,0,0,0,1,0
2011,7528,120,0,0,0,1,0
2000,1101,27,0,0,0,0,1
2001,1335,21,0,0,0,0,1
2002,1802,36,0,0,0,0,1
2003,2352,43,0,0,0,0,1
2004,3028,34,0,0,0,0,1
2005,3523,44,0,0,0,0,1
2006,4191,71,0,0,0,0,1
2007,4890,91,0,0,0,0,1
2008,5683,92,0,0,0,0,1
2009,6934,91,0,0,0,0,1
2010,7799,96,0,0,0,0,1
2011,8907,90,0,0,0,0,1
